Title,Creators,Genre,Rating,Views,Likes,Engagement,Subscribers,Release Date,Synopsis
"God, Please Make Me a Demon!","Bulsa, Yomgary",comedy,9.38,8000000.0,1100000,0.1375,359672,2021.0,"At a glance, high-schooler Moran Baek appears to be a beautiful girl who's perfect in every wayâ€¦ or so it would seem. In reality, she is an exiled demon who has been trapped in a human body for over 5,000 years. When she learns that she is still unable to use her demonic powers despite finishing her exile, Moran despairs and struggles to find a way to become a demon again. One day, she accidentally discovers that doing a good deed restores her powers, and sets out to find a way to keep doing good deeds so she can return to her devilish ways."
"Good Luck, Hero!",Song Hyunju,fantasy,9.54,1600000.0,206053,0.128783125,94473,2021.0,"After a great hero sacrifices himself to defeat the nefarious Demon Lord, an angel grants his wish to be reborn with his memories intact. Now known as Hero Baek, he puts his memories to use and writes a web novel depicting the story of his past life. In time, he lands a job at an entertainment company, working for the genius and intimidating CEO, Yeonhwa Do. Unbeknownst to Hero, his new boss is none other than the reincarnation of the Demon Lord. When his web novel catches her attention, the two mortal enemies appear destined to collide once again."
Gourmet Hound,Leehama,drama,9.82,115032258.0,12493104,0.10860522271935234,877749,2017.0,"Lucy, a woman with an uncanny sense of taste and smell, discovers that her favorite restaurant has changed kitchen staff--and she does not know the identity of the chef whose cooking she's loved for years. When a lucky accident leads her to two former chefs at Dimanche, she decides that she will do her utmost to track down each of their old colleagues in order to rediscover that ""perfect taste""."
Grasp,Jeonghoon Hwang,thriller,9.52,2640019.0,321034,0.12160291270631007,111343,2021.0,"Sojin Yeon, a temporary employee who posts her daily work life on her vlog, gets caught in the midst of a messy crime scene after the murder of her assistant manager. Her viewer ratings are escalating along with the shadows of her past latching onto her from moving forward. Can she break free from the mysterious crimes that are continuously occurring around her?"
GremoryLand,A.Rasen,horror,9.47,24321336.0,2390473,0.09828707600602203,438415,2020.0,"Six old school friends are invited to be the first visitors of GremoryLand, a new horror theme park that promises an experience as unique as it is spooky. But once this experience starts there is no turning back, and they find themselves tested beyond what they imagined, facing their most desperate fears in order to survive."
Guardians of the Video Game,"Gasfard, Jeong Summer",sci-fi,9.13,6785625.0,507803,0.07483511098830248,60491,2014.0,"Within the wires and pixels of your favorite video game lies an unsuspecting protector. Patch is the top guardi-agent at the Guardians of the Video Game Corporation, working hard to keep games running at all costs. That is, until his promotion is ruined by office politics and he's assigned to the obsolete Classic Games department. Nevertheless, Patch is determined to fulfill his responsibilities as a guardian."
Gul,"Atenmaru, Nekucciola, NicolieDC",action,9.56,19054836.0,2091404,0.10975712412324094,284203,2021.0,"A rowdy, young, and ambitious Orc named Gul is great at three things: running, running fast, and running away. But when one misadventure brings him face to face with Wran, a mysterious Dark Elf, fate hands Gul a mission that no one else in his village could keep pace with."
HAPI BUNI,Ryan Pagelow,comedy,9.52,49775792.0,2890717,0.05807475650010752,188123,2014.0,"Hapi Buni is a dark comic about an optimistic bunny with terrible luck. Always positive, Buni doesn't understand that the cute world he lives in is usually out to get him. The girl he loves, loves someone else. And his best intentions never seem to work. Yet he wakes up each day, hoping for the best. He also lives with his cynical father who is the opposite of Buni."
HEART Anthology,"Marvin.W, Various Artists, caw-chan",heartwarming,9.65,14297141.0,1921233,0.1343788244097194,265665,2020.0,"Featuring stories from the 2020 Short Story Contest! From wholesome stories to tearjerkers, are you ready to catch these feelings? New stories released every Wednesday."
HIVE,"Kyusam Kim, kim kyusam",thriller,9.66,68813848.0,3073225,0.04465997890424613,486432,2014.0,Gigantic oxygen-doped bees are attempting to dominate the human race by reversing the food chain. Lee is a mid-level manager at a large company who only has one thing on his mind: to save his family from the bug-apocalypse.
Half-Ghost,Sejung,romance,9.74,21364530.0,3378737,0.15814703155182913,317766,2021.0,"Can she see them or not? Hayeon has always felt something creepy near her. She knows ghosts exist, but she can't really see them. She suddenly meets a boy who not only sees them but fights with them? Hu-an Lee isn't your average student. He's a half-ghost. He knows there's something different about Hayeon, but he can't seem to figure out what. No one can. Human or ghosts!"
Hand Jumper,SLEEPACROSS,thriller,9.78,39023090.0,3988374,0.10220548910914025,723425,2022.0,"Sayeon Lee despises Aberrants. They wreak havoc on society with their strange, unthinkable powers. It's just too bad she happens to be an Aberrant herself! Forced to fend for her life in the deadly Aberrant Corps, she's determined to make it to the top, and her unusual ability should help her -- if she can figure out how to use it in time."
Hanlim Gym,"Hyeseong, Sukjae Lee",sports,9.44,24582087.0,1928139,0.07843674949161152,280685,2021.0,"Tired of being picked on, Yeongha, the new transfer student, decides to fight backâ€¦ and discovers he can pack a punch. He soon becomes the top of the food chain, savoring his new title as the toughest guy at school. But he meets his match when Suho Kang, the Champion of the PVP games, single-handedly takes down him and his crew. To earn back his honor, Yeongha decides to join the PVP games. Will he finally get the satisfaction of beating Suho up? Or will he gain something more?"
Happily Ever Afterwards,"Hwang DoTol, Jeongseo",fantasy,9.72,51979980.0,6246854,0.12017807625166459,736145,2021.0,"What would you do if you were reborn as a character from your favorite romance novel? For Peony, an avid fan of ""The Song of Askar,"" the answer is simple: Marry her favorite character, of course! Reincarnated as the princess of the Kingdom of Garten, Peony is determined to marry Richt, the second male lead of ""The Song of Askar"" and former prince of the Fairspren Empire, who was banished to an inhospitable land after the novel's happy ending (which didn't end so well for him). Amidst trials and tribulations, can Peony and Richt make the most of their second chance at life and love?"
Happiness,"Jin Cheol-soo, Jung Seok-hyun, Park Si-hyun",action,9.32,3086335.0,303745,0.0984160825056256,116501,2022.0,"Saebom, a Sergeant of the Special Forces, and Ihyeon, a Detective Sergeant of Saeyang Police Station, are high school friends who enter into a marriage of convenience so that they can qualify to buy an apartment together, while a mysterious and seemingly contagious virus tears through their city of Saeyang. Saebom and Ihyeon move into their dream home only to find that the new virus that turns people violent and thirsty for blood has come knocking at their door."
Hardcore Leveling Warrior,Sehoon Kim,action,9.76,234974870.0,16135673,0.06866978158132399,1343074,2017.0,"Known as Hardcore Leveling Warrior, Ethan is the #1 player of the world's biggest game, Lucid Adventure. But when a mysterious player kills Ethan and forces his character back to level 1, he will do anything to get back on top. New friends and old foes, as well as mysterious forces and his own dark past, will follow him as he does his best to take back what was once his."
Harmonia,"JINU, YOON",sci-fi,9.42,1961990.0,331534,0.16897843516022,76372,2021.0,"Divers discover an immortal jellyfish in the Caribbean Sea and the key to immortality is seemingly at hand for humanity with the development of Harmonia, a pill that keeps its consumers looking young as long as it is taken daily. However, a fatal flaw is discovered when a singer experiences its side effect while on TV, rapidly aging until death. Trapped on Nakwon Island with his family, islanders he’s known all his life, a group of church volunteers, and a dwindling supply of Harmonia, will Junam be able to escape alive?
"
Have You Any Fear?,Various Artists,horror,8.61,4922379.0,199027,0.04043309139747264,227499,2017.0,A seasonal anthology exploring the sinister nature of classic children's nursery rhymes.
Haxor,Walter Ostlie,sci-fi,9.11,1995331.0,206267,0.10337482853722015,97474,2018.0,"The internet has been replaced by The Frame, a hyper-fast network of instant connection and accessibility. There's no way that'll go wrong, right?"
Heartwired,"Rod Hannah, stratosmacca",sci-fi,9.17,2190768.0,215070,0.09817105234328784,123400,2019.0,"Plenty of teenagers would kill for a chance to leave Earth behind and journey to Mars. But for Cal, that situation is pretty much reversed. One of only seven people ever born on the Red Planet, Cal dreams of returning to the homeland of his parents where, despite its many flaws, he can be free to live life his way. But Cal's plan of getting back to Earth may have to be put on hold, as an unknown presence threatens the very existence of the boy, his family and everyone who now calls Mars their home."
Heavenly Roommates,"MARO, kang jaegeon",fantasy,9.38,7690631.0,942270,0.12252180607807084,248256,2021.0,"As a rabbit who lost her baby to a tiger, Myoryeong is infuriated by the cruel ways of the jungle. She delves into spiritual training to become divine and create an ideal world, but her resolve weakens with time. Just when she's settled for the status quo, the god she serves sends her down to earth with an impossible quest: finding the ""udumbara,"" a mythical flower that will save the human world. Her partner is none other than Hanho, the very tiger responsible for her baby's death! Will the two enemies set aside their past conflict and rescue humanity?"
Heir's Game,suspu,drama,9.74,37468811.0,5183758,0.138348612129699,308744,2018.0,"When a new heir to the duchy of Belluna comes of age, there is held the Heir's Game: a brutal series of duels to determine the heir's bodyguard. When Theuden, the new heir, meets Isran, a quiet duelist with a mysterious past, their love will threaten to change everything."
Helios:Femina,Michelle Phan,fantasy,8.73,9766801.0,305644,0.03129417708008999,209209,2016.0,"With no knowledge of her birthright, Rhea Oribel, a young songstress of celestial origin, awakens her true calling."
Hell is Other People,Yong-Ki Kim,thriller,9.56,8545951.0,860564,0.10069844772103187,210663,2022.0,"Now a major adaptation on streaming.
Jongu Yun is a young man in his 20s who moves to Seoul and rents a cheap room in a run-down building because he is low on money. The place is dilapidated and the residents are creepy, but Jongu decides to stay until he has enough money to move elsewhere. However, when mysterious events occur, Jongu realizes that the residents may be more suspicious than they seemed."
Hellbound,"Choi Gyuseok, Yeon Sangho",thriller,9.3,3037000.0,301802,0.09937504115903853,226971,2021.0,"Repent, or face hell on Earth! In Seoul, apparitions have started appearing before those who have done wrong to notify them of when they will die. A new religious group explains these happenings as God condemning people to make them live more righteously. Detective Jin is assigned to investigate the latest incident, just as his wife’s murderer is scheduled to be released from prison."
Hello World!,Alex Norris,slice of life,9.11,1773742.0,176434,0.09946993418434022,31719,2016.0,"Follow Alex as he defies all reclusive, introverted webcomic cliches and explores the outside world with his plastic hand sidekick, Johand. Expect the sky, some grass, buildings, maybe a bird, some rain."
Hellper,SAKK,fantasy,9.74,26909156.0,1279269,0.04754028703092732,208825,2014.0,"When the leader of a biker gang dies and finds himself with a ticket to Hell, he sets out on a quest to change his fate. He needs to collect 100 black bracelets of other condemned souls to qualify for reincarnation."
Her Bucket List,"So-p, Vicente Miranda, Yellow sheep",romance,9.69,10826201.0,1246079,0.11509845420383383,334332,2021.0,"Rari's entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death. Things take an unexpected turn when fate links her to Hansol, her neighbor who has a painful story of his own. The two embark on a journey to heal their wounds and learn there is more to life than trauma and heartbreak."
Her Mannequin,"ST, Sang beom, Steak",romance,9.26,5725179.0,688490,0.12025650202377952,284386,2021.0,"A walking, talking mannequin. Is this an opportunity to use, or an opportunity to be used? Bora simply wants a chance to get close to the fashion designer, Hongrin Da. Yet it would seem that Hongrin wants something more from Bora. Will Bora's struggles to become a fashion designer pull at Hongrin's heartstrings? If she even has any to begin with..."
Here There Be Dragons,"Disteal, Here There Be Dragons Team, Steve Horton",fantasy,9.46,6853611.0,1027702,0.1499504421829602,236459,2022.0,"Bree — a Dragonspeaker — receives a message from an ancient, dying dragon that sets her on a perilous journey. Now with the world losing balance, Bree must unite her team of young knights and save the dragon before it's too late..."
Hero Killer,"Beolkkul, Kkulbeol",action,9.75,88246432.0,8427289,0.09549722078281873,995446,2021.0,"The world is in constant turmoil, with constant wars breaking out between Heroes and Villains. Gifted with supernatural abilities, one lone girl sets out on a bloody path for revenge against the injustices of the world she lives in. With the constant clashes between titans, no one is safe. If no one is willing to protect the innocent, who are the real heroes, and who are the real villains? What truly separates one from the other?"
Heroine Chic,"Audrey Mok, David Tischman",superhero,8.92,24956294.0,953637,0.03821228424380639,275905,2015.0,Zoe Porter isn't a superhero. She doesn't have super powers. But she is going to be the hero of her own life - and she's going to do it with style!
