Title,Creators,Genre,Rating,Likes,Subscribers,Views,Synopsis
A Child Who Looks Like Me,"FLADA, PATNOC",romance,9.56,920323.0,486033.0,11541676.0,"A surprise pregnancy sends Jeong-o, a college junior, into a panic. Her supportive boyfriend Jiheon plans a loving proposal, but a car accident erases his recent memories, including their romance. Seven years later, they reunite unexpectedly—but Jiheon has no recollection of Jeong-o or the fact that they share a precious daughter between them."
A Couple of Obligations,"ASONA, Eun, GULDAK, Pinku",romance,8.58,453781.0,185287.0,5411439.0,"“I will marry you, but I have no intention to share a bed with you.”
The charismatic princess of Bashar meets the sharpest sword of the empire!
The life of the two newlyweds united for alliance is a battle in itself.
The tingling thriller of a romance between two brave and beautiful individuals who have never loved unfolds!"
A Dance of Swords in the Night,"JP, MinskySong, Yu jin sung",action,9.58,914959.0,152332.0,8612819.0,"Kidnapped as a child to be trained in the art of poison, Sohan Jin returns to his hometown in search of the group of New Moon Sword Dancers who raised him. However, upon his return, Sohan discovers the sword dancers have been defeated by a nefarious sect that now rules the area, with some members having been abducted. What would have been a heartwarming reunion transforms into a quest for revenge as Sohan begins his search for the remaining sword dancers, and he’s willing to poison anyone who gets in his way."
A DeadbEAT's Meal,CHEESE,"slice of life, slice_of_life",9.20,885499.0,126640.0,6175682.0,"Now a major (K-Drama) adaptation.                                                                                                                                                                                                       
What’s better than a good meal? My name’s Jaeho and I love food. While some may call me a deadbEAT because I don’t have a job at the moment, I’m just your normal happy guy who loves eating and my girlfriend of 7 years… That is until I got a breakup text yesterday… Where did things go wrong? I keep trying to look back through the years, but I just can't figure it out..."
A Demon's Wish,"Muneki, Zigozi9",romance,9.28,812353.0,436431.0,17733377.0,"Doya Seo, a demon, is one day captivated by a mysterious dream. That same day, he happens upon Wish So, a new freshman. Curiously, each moment their paths intersect, Doya finds himself engulfed in a perplexing whirl of emotions and physical sensations that his demonic sensibilities fail to decipher. Meanwhile, Wish finds herself amidst a flurry of events after being invited to the home of famous actor Jaehyeon Woo. In a world where the supernatural coexists with humanity, and caught between the devilish charm of Doya and Jaehyun’s allure, will Wish be able to navigate her school life without trouble?
"
A Fake Affair,Akiko Higashimura,romance,9.18,232021.0,49309.0,1601628.0,"After searching and failing to find a husband for 3 years, Shoko Hama is ready to give up. Tired from work and marriage-less future prospects, she quits her job and travels on a solo trip to Korea. On the plane ride there, Shoko meets the young and attractive Jobanni Park, but accidentally tells him… she’s married? Now caught in her own web of lies, Shoko is about to have the wildest time of her life!"
A Flame Reborn,"Painkiller, Saint Nine, Yang Pyung",action,9.45,368010.0,118199.0,4539771.0,"Logan MacLine, a middle-aged knight fighting for the independence army, is intent on getting revenge against the empire which took over the kingdom and executed his brother when he ends up dying in battle. But when he wakes, he is a young man again, and has yet to be disowned for his terrible behavior. Using his experience and knowledge from his past life, Logan recruits a few talented individuals to develop new weapons, build an army, and make enough money to fund it all. But will he be able to make amends with his family and stop the empire's march?"
A Flower Blooms on the Wall,"Eunjeong, Myeonla, Park Yeong",romance,9.21,212675.0,160554.0,2723438.0,"“Of course I recognized you. You’re my first love.” Living a life of being stalked by her first love, Dam Do is visited by her brother’s friend Yun Oh. No longer the boy next door who used to follow her around like a puppy, Yun is now a man, and he acts strangely aloof around her. While Dam has found herself resenting her first love, Yun is secretly quite excited to be around his first love once again. As the two become reacquainted after their time apart, they may be in for a lesson on what love really is."
A Good Day to be a Dog,"Lee Hey, Lee Hye",romance,9.84,11227234.0,1433149.0,113873554.0,"Hana has made every effort to avoid an inevitable family curse... of turning into a dog after her first kiss. Worst of all, the only way for her to break the curse is to get a second kiss. How will that work when Hana's first kiss is with a guy who is deathly afraid of dogs?!"
A Heart for the Emperor,"6S, Studio wooridle",romance,6.99,593185.0,271073.0,8218654.0,"Our protagonist ends her day as usual, rereading her favorite novel before sleep. But, after awakening in the body of Princess Charlioni of the Kingdom of Linoa, the protagonist of that very novel, she realizes that it's only a matter of time before her kingdom is ruthlessly defeated at the hands of Casikaf, the blood-thirsty Emperor of Pretas. Fortunately, she has the upper hand of knowing that he’ll fall madly in love with her at first sight. But when the novel starts veering off track and every character isn't who they appear to be, she'll have to take matters into her own hands to get her happy ending. "
A Heartfelt Andante,Na Yoonhee,drama,9.48,260035.0,100310.0,1679961.0,"One man’s death led to another man's salvation. After years of suffering from heart disease, Da-ul receives a heart transplant from young and renowned pianist Yuwon, who has died an unfortunate death in a car crash. Da-ul’s life has been forever changed by this priceless gift, and he pledges to make every second of his life count in gratitude. But when he meets Yeonjo, the woman his donor was deeply in love with, and finds out that she has been living in despair, he begins developing ambivalent feelings towards her. Is it guilt, or could it be something else?"
A Husband I Didn’t Expect,"Damsu, Got W, The Greedy Gatsby",romance,8.08,53392.0,106155.0,977600.0,"Gyeo-ul has lucked into a marriage with a rich, handsome, and kind man. The catch? She has no idea how it happened.
After an accident wipes out the past year of her memory, Gyeo-ul finds herself living a life she doesn't recognize: Sihu Kang, her sworn enemy, is now her doting spouse, and he won't stop gushing over her.
“Wait, I have to share a bed with this guy? And kiss him, too?! Why does he keep saying he loves me?!”
Something about this marriage doesn’t add up.
"
A Killer Paradox,kkomabi,thriller,8.93,93235.0,29759.0,716690.0,"A man wakes up, tied to a crucifix. He’s a district attorney, held prisoner by a serial killer named Tang Lee. Why is he there? And who is this twitchy man staring him down?
As the story unfolds, we follow Tang Lee’s descent from average nobody to murderer. The catch? All of his victims are revealed to be criminals, rapists, and killers who had escaped justice.
Is Tang an angel of retribution? Or is it all in his mind? At every turn, a new dark corner of society’s decay comes to light in this twisted thriller.
"
A Kiss Before I Sleep,Chaeeun Lee,romance,9.29,35466.0,68213.0,504948.0,"Jiho has a superpower that causes explosions whenever she gets excited, making dating and fun nearly impossible—until she discovers that touching her new neighbor, Yechan, miraculously helps her control her ability. Determined to maintain physical contact without outright harassing him, Jiho embarks on a mission to “seduce” Yechan and become his girlfriend. Along the way, ghostly advice and a whirlwind of chaos lead her to uncover the mystery of their unique connection in this unpredictable romance."
A Knight With a Time Limit,"GEUMUIHAENG, KDRM, Yunyeol Choi",fantasy,8.85,113875.0,58311.0,1193887.0,"Leaving behind his miserable life and untimely death,
Luis Cloyde is reborn into a new world filled with fantastical beasts and adventure.
The catch? He must continue killing other living beings to extend his own life.
But given a second chance at life, Luis Cloyde is willing to do just about anything to survive.
"
A Life-Changing Turn,"Ghna, Gwang-jin, YOPY",thriller,9.32,98718.0,61094.0,1101072.0,"My name is Sua Jo, and my life couldn't get any better - my loving dad is a Mayor, my handsome boyfriend is the top dog in school, my fun-to-be-with friends love me, and my background is top-notch. My life is perfect. But wait, did I just hit someone?! No, no I didn't... No one saw me, so nothing happened. My life is still perfect, or so I thought... until ""M"" appeared claiming to be a witness. You think I'll let you ruin my perfect life?! Just wait until I find you!				"
A Man's Man,"Dogado, Ha Neulso, Lucas",drama,9.82,1364826.0,137431.0,11054652.0,"Yuhyeon becomes the youngest CEO of Hansung, a successful electronics company built on toxic work culture, but nobody he cares about is there to celebrate with him. After a night of drinking and wondering if he could change the past, he wakes up the next morning, 20 years younger at the beginning of his career. Armed with the experience and insights that made him CEO, Yuhyeon begins to revisit broken relationships and battle the enablers of Hansung's cut-throat work environment. But he does not yet know how changing the past will affect his future..."
A Mark Against Thee,gotaeho,drama,9.52,336700.0,60488.0,3277990.0,"Innocent man framed for murder and sentenced to death. Released 17 years later after his name was cleared. The times have changed. Yeop has changed. His friends and family have changed. Nothing is the same anymore. The harsh reality surrounding him turned Yeop from a grateful young man to a stoic, skeptical person. And now, he wants to exact revenge on everything that worked together to ruin his life."
A Martial Master Wakes Up as a Concubine,"LICO, koyanghee",fantasy,9.68,2257439.0,431761.0,20338595.0,"Once a notorious master of the deviant sects, Nyeonbi Cheon pays a hefty price for her romance with a man of a virtuous sect, Won Gae of the True-spirited Sword. As her lover poisons her to death with a dragonsbane fruit, Nyeonbi perishes with more questions than answers. When she wakes up, however, she finds herself in a different sort of peril, as she reincarnates in the body of Noble Lady Soyeo Cheon, a concubine of the imperial palace. As Soyeo, Nyeonbi must rely on her knowledge from her past life to navigate both intrigue and romance in the palace!

"
A Not So Fairy Tale,hyobin,fantasy,8.99,749971.0,354090.0,8979823.0,"When a naïve woodcutter steals the robe of a fairy descended from heaven, he condemns her to centuries trapped in the human realm. In the present day, the fairy is known as Moran Cheon, a renowned actress who is unexpectedly accused of murder. Bitter and resentful from her exile, Moran sees her plot for vengeance take shape when she discovers that Jeha Sa, a police detective tasked with investigating the murder, is the reincarnated woodcutter of centuries past. "
A Practical Guide to Evil,"David Verburg, G. Galen Mayhew, WmW, Yeajin Shin, Yui",fantasy,9.66,164041.0,81189.0,1379708.0,"The Empire stands triumphant.

For twenty years the Dread Empress has ruled over the lands that were once the Kingdom of Callow, but behind the scenes of this dawning golden age threats to the crown are rising. The nobles of the Wasteland weave their plots behind pleasant smiles while rebellion stirs beyond Peren Woods, for dreams of crowns were buried in shallow graves.

The greatest danger of all lies to the west, where the First Prince of Procer restored order at last: her people sundered, she ponders if a crusade might not be the way to secure her reign. Yet none of this matters, for in the heart of the conquered lands the most dangerous man alive sat across an orphan girl and offered her a knife.

Her name is Catherine Foundling, and she has a plan."
A Savage Proposal,"Lee yuna, team IRUKA",romance,8.12,620861.0,677158.0,11261565.0,"When the ruthless Lord Tiwakan seizes the kingdom of Nauk, Princess Liene Arsac faces an impossible choice: marry her captor or watch her homeland crumble. But Lord Tiwakan isn’t just after power; he desires Liene, and his devotion stirs a mix of fear and undeniable attraction within her. With her former betrothed, Lafitte, still missing, Liene must decide whether to trust Tiwakan's promises or hold out hope for a rescue. As dangerous secrets come to light, Liene’s decision could change the fate of Nauk—and her own heart—forever."
A Spell for a Smith,ArtSasquatch,fantasy,9.85,2420447.0,353282.0,15755166.0,"A shy witch in her quiet forest cottage. A surly dwarf in his blacksmith's forge. Both seeking solace in their respective refuge, but both aching for more. Though drawn to each other's kindness, they can't deny the gentle chemistry simmering beneath their every interaction... just as their secrets do.

This series contains themes regarding anxiety, mental health, and self-harm that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/). "
A Summer Night's Dream,"Kan, Kim su bak",romance,8.07,1849855.0,551272.0,19722171.0,"Have you ever wondered if the person you like is dreaming about you? Teacher Yeoreum Han doesn't have to guess -- she can make it happen, with her ability to walk into other people's dreams. She can even link the dreams of two people together, and use this ability to play Cupid for her students. But her matchmaking goes awry when she enters the dream of Si-u Park -- a lucid dreamer, who realizes that Yeoreum is walking into his dream. Si-u and Yeoreum's lives become intertwined after this incident, weaving a tangled web of love, friendship, and dreamers at Hanseo High."
A Useless Villain,"ODI, Yeoul",action,8.68,1278937.0,458667.0,11621852.0,"High-school student Dongjin Kim seems like a typical moody teenager, but underneath it all, he's a powerful psychic ""villain"" who aims to destroy humanity. But there's a catch -- every time he uses his powers to kill, he is thrown back in time. Trapped in this time loop, Dongjin tries to narrow down the culprit by doing the one thing he knows: killing those around him. Will he be able to escape from the time loop and achieve his goal as a villain?"
A Whirlwind Campus Affair,Uiyoung,drama,9.40,2146871.0,292004.0,15772738.0,"Rumor has it that Baram Oh had an affair with her married art school professor. It’s been four years since that debacle, and now she’s back at campus to try and enjoy her college life. But she’s not the only thing who’s returned: there’s rumors of a water ghost roaming the halls, and it just might be following her around."
ANT,Jaehee,thriller,9.22,169852.0,92535.0,2048062.0,"They live under our feet... 
Sihwan Kim decides to stay at Dabin Park's house for a while. Little does he know that unidentified ants dwell below...
Through an experiment, a monster-like ant creature is born and begins to kidnap people. Will Sihwan and Dabin, who are now caught up in the incident, be able to escape after twists and turns?"
AXED,"Emi MG, Shren Patel",comedy,9.64,4084549.0,492617.0,39748482.0,"Meet Axelia. Since she was a little girl, all she's ever wanted to do was become a Monster Hunter. Tough and tenacious, she worked hard to achieve her dream. And then on the day she graduated from Monster Hunter school, with her whole professional life ahead of herâ€¦the world declared eternal peace between monsters and humans. Well then. Now, with a useless degree, and no other viable job skills, Axelia must take on any job that will have her. Alongside a wisecracking, underachieving demon and pretty wood nymph whose roots don't quite reach the soil, Axelia is determined to find the adventure she craves , even if it's at a soul-crushing minimum wage job. Girl's gotta eat, right?"
About Death,"Hyeono, Sini, sini",drama,9.83,409767.0,147317.0,6500265.0,"At the border between life and death, someone is waiting for you... ""How would I had time to think about death when I haven't yet figured out life...?"" About Death is a collection of poignant conversations on the inevitable rhythm of life and loss."
Absolute Regression,"JP, PARK JIN HWAN, Y.H.JANG",fantasy,9.76,343971.0,179043.0,3470094.0,"The past has changed, but like a fiery comet, he still comes. Mugi Hwa, the one without equal, slashed through Murim's skies with his sword, toppling every lord who dared to face him–even Cheonma, Mugeuk Geom’s father.  But Mugeuk didn’t accept defeat. Instead, he turned to the forbidden: a time-bending ritual that hurled him into his own past. Now, retracing his steps, he races against the clock until Mugi emerges once again. But this time, it's not just about power, but mending old wounds and forging new bonds to unite his people and prepare for the bloodtide to come.
"
Absolute Reign,"Y.H.JANG, sidae",action,9.64,100073.0,75200.0,1015767.0,"Twenty years have passed since the Great War, but petty theft and exploitation have taken root during times of peace. The once dazzling world of Murim is a mere shadow of its former self, but one young enigmatic swordsman has sworn to restore Jianghu to its former glory. Will the noble principles of justice and loyalty prevail over corruption and greed?"
Absolute Sword Sense,"HANJUNG WOLYA, KDRM, TI",action,9.68,1430357.0,218075.0,16699239.0,"For as long as he can remember, Woonhwi So has been the black sheep of his family and clan. Because his spirit core has been destroyed, he has no choice but to serve as a third-rate spy for the Blood Cult.
One day, during his mission to find the legendary Blade Scroll, he is killed and sent 10 years into the past. When Woonhwi regains consciousness, he realizes that he has been sent back to the day he was kidnapped by the Blood Cult, and that he has gained a mysterious ability to hear the voice of a dagger."
Academy of Marginalized Superpowers,jeffuwnag,comedy,9.23,405873.0,65064.0,3244429.0,"In a world of people gifted with supernatural abilities, a boy with a power deemed ‘marginal’ by society navigates life surrounded by his marginally extraordinary peers."
Acception,Colourbee,drama,8.97,16499642.0,900975.0,183534834.0,"With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager. He's an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own. 
 Acception may be Arcus' story , but it's all OUR stories too - and it is for anyone who's ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented."
Act Like You Love Me!,XUANN,romance,9.75,11779284.0,1503125.0,128935287.0,"25-year-old Ji-eon is stressed, overworked, and penniless. When a mix-up at a temp job has her spending a day as famous actor Doyun Nam's personal assistant, she takes her anger out on a doll... which turns out to have the magical ability to control him at her every whim. Now it's her turn to be the boss."
Acursian,"Carole Barrowman and Erika Lewis, John Barrowman",supernatural,7.22,36596.0,57468.0,574297.0,"Starring John Barrowman, Acursian is a time-traveling magical journey set between 1745 and present day that follows Charlie Stewart, a dislikeable lawyer whose bloodline is cursed by the Gods after Charlie's ancestor, Prince Charles Edward Stewart, makes a deal with Bregon, the god of war. The exchange quickly backfires with Bregon stealing three talismans from his sisters, the goddesses of fate and time, and a battle soon ensues. Until the talismans are returned, the three sisters can no longer control fate and time, and Charles Edward Stewart and his descendants are cursed to lose everything on their 40th birthdays."
Adopted by a Murderous Duke Family,"Da-Woo, Rogang, URang",romance,9.50,2305915.0,653328.0,27383689.0,"After ten years of being exploited by Duke Gerwehr for her healing powers, Agnes meets her death in a dungeon. When she wakes up, she finds herself in her uncle’s house before she was sold to Duke Gerwehr in the slave market. Desperate for her past life not to repeat itself, she lets Duke Rodwick adopt her and starts her new life with a new name, Tuariche Rodwick. Will she be able to keep her healing powers secret in this notorious family of assassins and find true happiness and love in her new life?"
Adopting a Zombie,_gwagj,drama,8.94,83377.0,95523.0,1263221.0,When a failed scientist falls in love with the zombie he's studying for a cure. 
Adventures of God,"Corey, Teo",comedy,9.42,35247807.0,1597043.0,509074618.0,"In this slice of (eternal) life, you'll meet God, visit Heaven and learn that what goes on behind the pearly gates isn't exactly the way the good book describes it. For starters, it's a pretty unhealthy work environment - what with God's ginormous, fragile ego and heavy drinking problem. The good news is that while heaven is a lot less holy than expected, it's much more hilarious too."
Aerial Magic,walkingnorth,fantasy,9.68,1848678.0,577835.0,18221275.0,The daily life of an apprentice witch.
After Dark,ABerg,horror,9.63,711783.0,188779.0,5554148.0,"Following a recent accident that resulted in the death of his girlfriend, Drew is riddled with guilt and now finds himself suffering from an unexplainable and worsening illness. As he comes to terms with his newfound curse, he must also overcome his past mistakes. Set in British Columbia, After Dark is a tale of love, loss and werewolves."
After School Lessons for Unripe Apples,Soonkki,drama,9.93,7757550.0,711897.0,68923335.0,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group “The Fire Boys”, and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn’t appreciate her efforts to get to know him. What’s up with that?"
After School Recipe,HYE RU,romance,9.70,244689.0,58805.0,2084789.0,"Friendly foodie Sogeum is excited to start a new chapter of her life at the famous Ruru Culinary High School. However, she unexpectedly reunites with her first love Eunjae, who broke her heart with hurtful words three years ago. Not only will they live under the same roof and attend the same school, but they will also be part of the same club. Sogeum will now have to battle against her rekindling feelings for Eunjae while dealing with a bumpy school life."
Agatha,Dain Lee,drama,9.07,725715.0,162313.0,4952532.0,"Despite her title, Princess Agatha was a sweet and unassuming girl who lived with relatives away from the royal palace. When her father’s sudden death put her on the throne, she was happy to become the Queen Consort instead, letting her husband Halon rule as the King of Zerlasha. Little did she know that Halon would scheme behind her back, allying with the powerful Kingdom of Cavenia, an erstwhile enemy. With her country Zerlasha falling prey to corruption and crime, the time arrives for Agatha to step up as a true queen and leader. Will Queen Agatha take a stand against King Halon to save her country and protect her people?"
Age Matters,Enjelicious,romance,9.78,29318576.0,3654424.0,400155246.0,"She's a hopeless romantic who's turning 30's  and is not super happy about it. He's a reclusive billionaire who's hired her to be his assistant , and he's not too happy about that either. Together they rewrite the rules of friendship, love, work and the BEST way to clean someone's apartment."
Aisopos,"Dogado, Yangsoo Kim",drama,9.72,309108.0,62557.0,5831165.0,"When his parents' love affair draws the ire of a powerful ruler in Ancient Greece, a young Aesop is taken away to become a slave under one of the most powerful men in the city. You know his fables, but do you know his story?"
Alice Elise,Nicky Soh,fantasy,8.94,135312.0,61000.0,1319603.0,"On a visit to her grandparents' home, Alice falls through a mysterious door into Hell. In order to return to the world of the living, Alice must race against time to get to the center of Hell to return home. However, time may not be the only thing Alice is up against..."
All Haven Academy,Akiocha,drama,9.32,555591.0,147680.0,4345281.0,"Ava’s just trying to live an easy life watching videos of her favourite kpop boy group, BTX. But the plot has bigger plans for her, no matter how much she struggles against it. Now Ava’s surrounded by rich kids, fighting for the top spot at All Haven Academy, wondering “how did I get here?”"
All That We Hope to Be,it sun,"slice of life, slice_of_life",9.52,242030.0,74528.0,2681315.0,Sometimes we just can't get out of a ditch; yet we still hope.
All That You Are,Brayden Sato,drama,9.22,113236.0,50094.0,1729079.0,"Each day is a desperate struggle on the decaying streets of Kansai Core-IV, especially for Amelia and her newborn child. So when a citywide bounty is announced and $1000 given to every able-bodied citizen, she faces a difficult choice: Use the cash to survive another day or race against an entire city for the chance at a new life. Whichever path she chooses, her demons are sure to follow."
All of Us Are Dead,Joo Dong-geun,thriller,8.97,1437923.0,540060.0,20534279.0,"Life at Hyosan High School is nothing specialâ€¦ until the students realize they're in ground zero of a deadly virus that turns its victims into flesh-eating monsters. As the virus tears through their schoolmates in a matter of hours, they realize they have nowhere to run. Trapped in their high school with zombified versions of their friends and teachers, they must find a way to fight -- and escape with their lives."
