,Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
68,Bump Up Business    6.5,2023,8,,,,,,,,,,,,,,,,,
69,Doona!,2023,9,,,,,,,,,,,,,,,,,
70,Taste of Horror,,,,,,,,,,,,,,,,,,,
71,A Good Day to Be a Dog,2023,14,,,,,,,,,"Lee Hey, Lee Hye",romance,9.84,113873554,11227234,0.099,1433149,0.086,"Hana has made every effort to avoid an inevitable family curse... of turning into a dog after her first kiss. Worst of all, the only way for her to break the curse is to get a second kiss. How will that work when Hana's first kiss is with a guy who is deathly afraid of dogs?!"
72,The Deal,2023,8,,,,,,,,,,,,,,,,,
73,Mask Girl,2023,7,,,,,,,,,,,,,,,,,
74,The Killing Vote,2023,12,,,,,,,,,,,,,,,,,
75,Concrete Utopia,,,,,,,,,,,,,,,,,,,
76,Moving,2023,20,,,,,,,,,,,,,,,,,
77,Happy Merry Ending (Movie),,,,,,,,,,,,,,,,,,,
78,Sing My Crush,2023,8,,,,,,,,,,,,,,,,,
79,The Uncanny Counter Season 2:,,,,,,,,,,,,,,,,,,,
80,D.P. Season 2,2023,6,,,,,,,,,,,,,,,,,
81,Not Others,2023,12,,,,,,,,,,,,,,,,,
82,Bump Up Business,,,,,,,,,,,,,,,,,,,
83,See You in My 19th Life,2023,12,,,,,,,,,"Lee Hey, Lee Hye",romance,9.88,96091538,12532235,0.13,1423217,0.075,"Jieum Ban has an extraordinary ability: she can remember the memories of all her past lives. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?"
84,Unintentional Love Story Special    8.5,,,,,,,,,,,,,,,,,,,
85,Bloodhounds,2023,8,,,,,,,,,Jeong Chan,action,9.24,2301171,187346,0.081,115128,0.002,"Bark, bark! Yes, I aim to please and do your bidding. And I’ll certainly never bare my teeth – that is, as long as you don’t show your back. Because it’s a dog-eat-dog world out there. Whether you’re a judge, CEO, boss of the criminal underworld, or a nobody, it doesn’t matter. In the face of money, all are equal."
86,Love Tractor    8.0,2023,8,,,,,,,,,,,,,,,,,
87,Black Knight,2023,6,,,,,,,,,lee yun kyun,action,9.4,4244244,496682,0.117,236055,0.003,"Devastating air pollution and severe social divide between residents and refugees. A corrupt, unforgiving and violent social order. This is the world Sawol was born into. After watching the police massacre her mother and adopted family simply because they were refugees, Sawol holds a deep seeded rage and fear of the police. Sawol believes that becoming a delivery agent is the only means to liberate herself, but can she beat the odds stacked up against her to become one?  
"
88,Happy Merry Ending    7.0,2023,8,,,,,,,,,,,,,,,,,
89,Duty after School: Part 2,2023,4,,,,,,,,,,,,,,,,,
90,The Ghost Station,,,,,,,,,,,,,,,,,,,
91,Joseon Attorney: A Morality,2023,16,,,,,,,,,,,,,,,,,
92,Duty after School: Part 1,2023,6,,,,,,,,,,,,,,,,,
93,Unintentional Love Story    8.5,2023,10,,,,,,,,,,,,,,,,,
94,Divorce Attorney Shin,2023,12,,,,,,,,,,,,,,,,,
95,Taxi Driver Season 2,2023,16,,,,,,,,,,,,,,,,,
96,Oh! My Assistant (Movie)    7.5,,,,,,,,,,,,,,,,,,,
