Title,Genre,Creators,Views,Likes,Subscribers,Rating,Release Date,Schedule,Synopsis
A Dance of Swords in the Night,action,"JP, MinskySong, Yu jin sung",8612819.0,914959,152332,9.58,,Wednesday,"Kidnapped as a child to be trained in the art of poison, Sohan Jin returns to his hometown in search of the group of New Moon Sword Dancers who raised him. However, upon his return, Sohan discovers the sword dancers have been defeated by a nefarious sect that now rules the area, with some members having been abducted. What would have been a heartwarming reunion transforms into a quest for revenge as Sohan begins his search for the remaining sword dancers, and he’s willing to poison anyone who gets in his way."
A DeadbEAT's Meal,slice of life,CHEESE,6175682.0,885499,126640,9.2,2022.0,Wednesday,"Now a major (K-Drama) adaptation.                                                                                                                                                                                                       
What’s better than a good meal? My name’s Jaeho and I love food. While some may call me a deadbEAT because I don’t have a job at the moment, I’m just your normal happy guy who loves eating and my girlfriend of 7 years… That is until I got a breakup text yesterday… Where did things go wrong? I keep trying to look back through the years, but I just can't figure it out..."
A Demon's Wish,romance,"Muneki, Zigozi9",17733377.0,812353,436431,9.28,,Sunday,"Doya Seo, a demon, is one day captivated by a mysterious dream. That same day, he happens upon Wish So, a new freshman. Curiously, each moment their paths intersect, Doya finds himself engulfed in a perplexing whirl of emotions and physical sensations that his demonic sensibilities fail to decipher. Meanwhile, Wish finds herself amidst a flurry of events after being invited to the home of famous actor Jaehyeon Woo. In a world where the supernatural coexists with humanity, and caught between the devilish charm of Doya and Jaehyun’s allure, will Wish be able to navigate her school life without trouble?
"
A Fake Affair,romance,Akiko Higashimura,1601628.0,232021,49309,9.18,2022.0,Monday,"After searching and failing to find a husband for 3 years, Shoko Hama is ready to give up. Tired from work and marriage-less future prospects, she quits her job and travels on a solo trip to Korea. On the plane ride there, Shoko meets the young and attractive Jobanni Park, but accidentally tells him… she’s married? Now caught in her own web of lies, Shoko is about to have the wildest time of her life!"
A Flame Reborn,action,"Painkiller, Saint Nine, Yang Pyung",4539771.0,368010,118199,9.45,,Friday,"Logan MacLine, a middle-aged knight fighting for the independence army, is intent on getting revenge against the empire which took over the kingdom and executed his brother when he ends up dying in battle. But when he wakes, he is a young man again, and has yet to be disowned for his terrible behavior. Using his experience and knowledge from his past life, Logan recruits a few talented individuals to develop new weapons, build an army, and make enough money to fund it all. But will he be able to make amends with his family and stop the empire's march?"
A Flower Blooms on the Wall,romance,"Eunjeong, Myeonla, Park Yeong",2723438.0,212675,160554,9.21,,Thursday,"“Of course I recognized you. You’re my first love.” Living a life of being stalked by her first love, Dam Do is visited by her brother’s friend Yun Oh. No longer the boy next door who used to follow her around like a puppy, Yun is now a man, and he acts strangely aloof around her. While Dam has found herself resenting her first love, Yun is secretly quite excited to be around his first love once again. As the two become reacquainted after their time apart, they may be in for a lesson on what love really is."
A Good Day to be a Dog,romance,"Lee Hey, Lee Hye",113873554.0,11227234,1433149,9.84,2018.0,Wednesday,"Hana has made every effort to avoid an inevitable family curse... of turning into a dog after her first kiss. Worst of all, the only way for her to break the curse is to get a second kiss. How will that work when Hana's first kiss is with a guy who is deathly afraid of dogs?!"
A Heart for the Emperor,romance,"6S, Studio wooridle",8218654.0,593185,271073,6.99,,Tuesday,"Our protagonist ends her day as usual, rereading her favorite novel before sleep. But, after awakening in the body of Princess Charlioni of the Kingdom of Linoa, the protagonist of that very novel, she realizes that it's only a matter of time before her kingdom is ruthlessly defeated at the hands of Casikaf, the blood-thirsty Emperor of Pretas. Fortunately, she has the upper hand of knowing that he’ll fall madly in love with her at first sight. But when the novel starts veering off track and every character isn't who they appear to be, she'll have to take matters into her own hands to get her happy ending. "
A Heartfelt Andante,drama,Na Yoonhee,1679961.0,260035,100310,9.48,,Tuesday,"One man’s death led to another man's salvation. After years of suffering from heart disease, Da-ul receives a heart transplant from young and renowned pianist Yuwon, who has died an unfortunate death in a car crash. Da-ul’s life has been forever changed by this priceless gift, and he pledges to make every second of his life count in gratitude. But when he meets Yeonjo, the woman his donor was deeply in love with, and finds out that she has been living in despair, he begins developing ambivalent feelings towards her. Is it guilt, or could it be something else?"
A Husband I Didn’t Expect,romance,"Damsu, Got W, The Greedy Gatsby",977600.0,53392,106155,8.08,,Monday,"Gyeo-ul has lucked into a marriage with a rich, handsome, and kind man. The catch? She has no idea how it happened.
After an accident wipes out the past year of her memory, Gyeo-ul finds herself living a life she doesn't recognize: Sihu Kang, her sworn enemy, is now her doting spouse, and he won't stop gushing over her.
“Wait, I have to share a bed with this guy? And kiss him, too?! Why does he keep saying he loves me?!”
Something about this marriage doesn’t add up.
"
A Killer Paradox,thriller,kkomabi,716690.0,93235,29759,8.93,,Thursday,"A man wakes up, tied to a crucifix. He’s a district attorney, held prisoner by a serial killer named Tang Lee. Why is he there? And who is this twitchy man staring him down?
As the story unfolds, we follow Tang Lee’s descent from average nobody to murderer. The catch? All of his victims are revealed to be criminals, rapists, and killers who had escaped justice.
Is Tang an angel of retribution? Or is it all in his mind? At every turn, a new dark corner of society’s decay comes to light in this twisted thriller.
"
A Kiss Before I Sleep,romance,Chaeeun Lee,504948.0,35466,68213,9.29,,Tuesday,"Jiho has a superpower that causes explosions whenever she gets excited, making dating and fun nearly impossible—until she discovers that touching her new neighbor, Yechan, miraculously helps her control her ability. Determined to maintain physical contact without outright harassing him, Jiho embarks on a mission to “seduce” Yechan and become his girlfriend. Along the way, ghostly advice and a whirlwind of chaos lead her to uncover the mystery of their unique connection in this unpredictable romance."
A Knight With a Time Limit,fantasy,"GEUMUIHAENG, KDRM, Yunyeol Choi",1193887.0,113875,58311,8.85,,Saturday,"Leaving behind his miserable life and untimely death,
Luis Cloyde is reborn into a new world filled with fantastical beasts and adventure.
The catch? He must continue killing other living beings to extend his own life.
But given a second chance at life, Luis Cloyde is willing to do just about anything to survive.
"
A Life-Changing Turn,thriller,"Ghna, Gwang-jin, YOPY",1101072.0,98718,61094,9.32,,Thursday,"My name is Sua Jo, and my life couldn't get any better - my loving dad is a Mayor, my handsome boyfriend is the top dog in school, my fun-to-be-with friends love me, and my background is top-notch. My life is perfect. But wait, did I just hit someone?! No, no I didn't... No one saw me, so nothing happened. My life is still perfect, or so I thought... until ""M"" appeared claiming to be a witness. You think I'll let you ruin my perfect life?! Just wait until I find you!				"
A Man's Man,drama,"Dogado, Ha Neulso, Lucas",11054652.0,1364826,137431,9.82,2021.0,Thursday,"Yuhyeon becomes the youngest CEO of Hansung, a successful electronics company built on toxic work culture, but nobody he cares about is there to celebrate with him. After a night of drinking and wondering if he could change the past, he wakes up the next morning, 20 years younger at the beginning of his career. Armed with the experience and insights that made him CEO, Yuhyeon begins to revisit broken relationships and battle the enablers of Hansung's cut-throat work environment. But he does not yet know how changing the past will affect his future..."
A Mark Against Thee,drama,gotaeho,3277990.0,336700,60488,9.52,2022.0,Monday,"Innocent man framed for murder and sentenced to death. Released 17 years later after his name was cleared. The times have changed. Yeop has changed. His friends and family have changed. Nothing is the same anymore. The harsh reality surrounding him turned Yeop from a grateful young man to a stoic, skeptical person. And now, he wants to exact revenge on everything that worked together to ruin his life."
A Martial Master Wakes Up as a Concubine,fantasy,"LICO, koyanghee",20338595.0,2257439,431761,9.68,,Tuesday,"Once a notorious master of the deviant sects, Nyeonbi Cheon pays a hefty price for her romance with a man of a virtuous sect, Won Gae of the True-spirited Sword. As her lover poisons her to death with a dragonsbane fruit, Nyeonbi perishes with more questions than answers. When she wakes up, however, she finds herself in a different sort of peril, as she reincarnates in the body of Noble Lady Soyeo Cheon, a concubine of the imperial palace. As Soyeo, Nyeonbi must rely on her knowledge from her past life to navigate both intrigue and romance in the palace!

"
A Not So Fairy Tale,fantasy,hyobin,8979823.0,749971,354090,8.99,,Tuesday,"When a naïve woodcutter steals the robe of a fairy descended from heaven, he condemns her to centuries trapped in the human realm. In the present day, the fairy is known as Moran Cheon, a renowned actress who is unexpectedly accused of murder. Bitter and resentful from her exile, Moran sees her plot for vengeance take shape when she discovers that Jeha Sa, a police detective tasked with investigating the murder, is the reincarnated woodcutter of centuries past. "
A Practical Guide to Evil,fantasy,"David Verburg, G. Galen Mayhew, WmW, Yeajin Shin, Yui",1379708.0,164041,81189,9.66,,Tuesday,"The Empire stands triumphant.

For twenty years the Dread Empress has ruled over the lands that were once the Kingdom of Callow, but behind the scenes of this dawning golden age threats to the crown are rising. The nobles of the Wasteland weave their plots behind pleasant smiles while rebellion stirs beyond Peren Woods, for dreams of crowns were buried in shallow graves.

The greatest danger of all lies to the west, where the First Prince of Procer restored order at last: her people sundered, she ponders if a crusade might not be the way to secure her reign. Yet none of this matters, for in the heart of the conquered lands the most dangerous man alive sat across an orphan girl and offered her a knife.

Her name is Catherine Foundling, and she has a plan."
A Savage Proposal,romance,"Lee yuna, team IRUKA",11261565.0,620861,677158,8.12,,Monday,"When the ruthless Lord Tiwakan seizes the kingdom of Nauk, Princess Liene Arsac faces an impossible choice: marry her captor or watch her homeland crumble. But Lord Tiwakan isn’t just after power; he desires Liene, and his devotion stirs a mix of fear and undeniable attraction within her. With her former betrothed, Lafitte, still missing, Liene must decide whether to trust Tiwakan's promises or hold out hope for a rescue. As dangerous secrets come to light, Liene’s decision could change the fate of Nauk—and her own heart—forever."
